Date,Average Temperature (°C),City
2011-07-27,28.45416667,Balikesir
2011-07-28,27.29583333,Balikesir
2011-07-29,26.68333333,Balikesir
2011-07-30,28.3125,Balikesir
2011-07-31,26.3875,Balikesir
2011-08-01,25.89583333,Balikesir
2011-08-02,24.44583333,Balikesir
2011-08-03,24.13333333,Balikesir
2011-08-04,24.71666667,Balikesir
2011-08-05,24.65,Balikesir
2011-08-06,23.2875,Balikesir
2011-08-07,23.45,Balikesir
2011-08-08,23.78333333,Balikesir
2011-08-09,23.97083333,Balikesir
2011-08-10,23.7625,Balikesir
2011-08-11,19.86666667,Balikesir
2011-08-12,20.1375,Balikesir
2011-08-13,21.9875,Balikesir
2011-08-14,23.84166667,Balikesir
2011-08-15,24.90416667,Balikesir
2011-08-16,25.22916667,Balikesir
2011-08-17,25.69583333,Balikesir
2011-08-18,24.67083333,Balikesir
2011-08-19,22.6125,Balikesir
2011-08-20,21.89166667,Balikesir
2011-08-21,22.48333333,Balikesir
2011-08-22,23.12916667,Balikesir
2011-08-23,22.5875,Balikesir
2011-08-24,23.525,Balikesir
2011-08-25,23.62083333,Balikesir
2011-08-26,22.78333333,Balikesir
2011-08-27,22.91666667,Balikesir
2011-08-28,22.22083333,Balikesir
2011-08-29,22.375,Balikesir
2011-08-30,23.30416667,Balikesir
2011-08-31,24.99583333,Balikesir
2011-09-01,25.49166667,Balikesir
2011-09-02,25.07916667,Balikesir
2011-09-03,23.975,Balikesir
2011-09-04,23.17083333,Balikesir
2011-09-05,22.70416667,Balikesir
2011-09-06,21.95,Balikesir
2011-09-07,20.95416667,Balikesir
2011-09-08,21.75,Balikesir
2011-09-09,24.6375,Balikesir
2011-09-10,23.65833333,Balikesir
2011-09-11,22.175,Balikesir
2011-09-12,21.6875,Balikesir
2011-09-13,22.6,Balikesir
2011-09-14,22.97916667,Balikesir
2011-09-15,22.175,Balikesir
2011-09-16,23.2375,Balikesir
2011-09-17,24.15833333,Balikesir
2011-09-18,22.94166667,Balikesir
2011-09-19,21.475,Balikesir
2011-09-20,22.05833333,Balikesir
2011-09-21,22.32083333,Balikesir
2011-09-22,18.94583333,Balikesir
2011-09-23,19.8875,Balikesir
2011-09-24,19.54166667,Balikesir
2011-09-25,19.76666667,Balikesir
2011-09-26,18.05416667,Balikesir
2011-09-27,17.875,Balikesir
2011-09-28,18.1125,Balikesir
2011-09-29,18.37916667,Balikesir
2011-09-30,16.52083333,Balikesir
2011-10-01,15.8375,Balikesir
2011-10-02,16.95,Balikesir
2011-10-03,16.875,Balikesir
2011-10-04,15.99166667,Balikesir
2011-10-05,16.70833333,Balikesir
2011-10-06,18.2875,Balikesir
2011-10-07,18.24583333,Balikesir
2011-10-08,19.84583333,Balikesir
2011-10-09,18.35833333,Balikesir
2011-10-10,16.12916667,Balikesir
2011-10-11,12.9,Balikesir
2011-10-12,13.99583333,Balikesir
2011-10-13,15.8375,Balikesir
2011-10-14,13.1,Balikesir
2011-10-15,11.325,Balikesir
2011-10-16,8.458333333,Balikesir
2011-10-17,5.641666667,Balikesir
2011-10-18,6.204166667,Balikesir
2011-10-19,9.2625,Balikesir
2011-10-20,11.0125,Balikesir
2011-10-21,11.77916667,Balikesir
2011-10-22,11.59166667,Balikesir
2011-10-23,12.49583333,Balikesir
2011-10-24,12.65416667,Balikesir
2011-10-25,12.8125,Balikesir
2011-10-26,11.56666667,Balikesir
2011-10-27,9.4375,Balikesir
2011-10-28,9.191666667,Balikesir
2011-10-29,9.425,Balikesir
2011-10-30,9.2,Balikesir
2011-10-31,8.375,Balikesir
2011-11-01,8.733333333,Balikesir
2011-11-02,9.395833333,Balikesir
2011-11-03,9.541666667,Balikesir
2011-11-04,9.3375,Balikesir
