No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
94,2.02E+13,2024-01-06,10:09.7,38.241,38.5367,5.5,4.1,0,3.8,4.1,0,0,Ke,GULUMUSAGI- (MALATYA) [North East  3.0 km]
95,2.02E+13,2024-01-06,53:30.9,38.8478,26.9118,6.7,4.1,0,4.1,3.9,0,0,Ke,CANDARLI KORFEZI (EGE DENIZI)
96,2.02E+13,2024-01-05,03:52.3,40.8983,31.652,5,4.2,0,4.2,4,0,0,Ke,YOGUNPELIT-YIGILCA (DUZCE) [South East  8.3 km]
97,2.02E+13,2024-01-01,54:35.2,37.4723,43.8465,5,4,0,3.9,4,0,0,Ke,CANAKLI- (HAKKARI) [North West  5.4 km]
98,2.02E+13,2024-01-01,28:18.1,39.5492,39.9937,5,4.1,0,4.1,4.1,0,0,Ke,SULEYMANUSAGI-PULUMUR (TUNCELI) [East 0.1 km]
99,2.02E+13,2023-12-31,06:05.4,37.4405,43.9263,5,4.5,0,4.5,4.4,0,0,Ke,YAZILI-YUKSEKOVA (HAKKARI) [South West  3.6 km]
100,2.02E+13,2023-12-31,37:55.8,37.4763,43.6965,5,4.6,0,4.6,4.4,0,0,Ke,CIMENLI- (HAKKARI) [South East  6.3 km]
101,2.02E+13,2023-12-30,26:24.2,38.4627,39.054,5,4.4,0,4.4,4.4,0,0,Ke,OKSUZUSAGI- (ELAZIG) [South East  0.5 km]
102,2.02E+13,2023-12-30,05:13.0,36.4303,36.333,12.3,4.1,0,4.1,3.9,0,0,Ke,TOPBOGAZI-KIRIKHAN (HATAY) [East 2.8 km]
103,2.02E+13,2023-12-28,40:34.6,36.4075,28.3622,28,4,0,4,4,0,0,Ke,AKDENIZ
104,2.02E+13,2023-12-28,34:04.9,38.2577,38.1025,5,4.6,0,4.6,4.6,0,0,Ke,GORGU-YESILYURT (MALATYA) [South West  1.0 km]
105,2.02E+13,2023-12-27,04:10.9,41.0535,33.8043,5,4.7,0,4.7,4.5,0,0,Ke,COMERT-ILGAZ (CANKIRI) [North East  6.4 km]
106,2.02E+13,2023-12-27,55:12.5,38.0407,37.6825,6.3,4.4,0,4.4,4.2,0,0,Ke,BEGRE-DOGANSEHIR (MALATYA) [South East  1.4 km]
107,2.02E+13,2023-12-21,24:31.7,36.2807,36.1393,5,4.2,0,4.2,4,0,0,Ke,OGLAKOREN- (HATAY) [South East  0.6 km]
108,2.02E+13,2023-12-18,23:13.8,39.9662,39.3098,4.8,4,0,3.9,4,0,0,Ke,CIMENLI-KELKIT (GUMUSHANE) [South West  2.6 km]
109,2.02E+13,2023-12-17,15:49.6,39.9335,39.3318,5,4.3,0,4.3,4.2,0,0,Ke,YESILYURT-KELKIT (GUMUSHANE) [South West  1.7 km]
110,2.02E+13,2023-12-17,53:52.4,40.7362,29.0795,4.7,4.1,0,4.1,4,0,0,Ke,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
111,2.02E+13,2023-12-16,33:43.3,36.4832,28.8718,24.9,4.1,0,4.1,4,0,0,Ke,OLUDENIZ ACIKLARI-MUGLA (AKDENIZ)
112,2.02E+13,2023-12-04,42:20.6,40.4078,28.855,5.3,5.1,0,5.1,5,0,0,Ke,GEMLIK KORFEZI (MARMARA DENIZI)
113,2.02E+13,2023-12-01,18:49.6,38.4065,37.4868,2.9,4.8,0,4.8,4.8,0,0,Ke,SUGUL-DARENDE (MALATYA) [South West  5.1 km]
114,2.02E+13,2023-11-23,49:56.7,38.1722,38.5215,5,4.7,0,4.6,4.7,0,0,Ke,ULUKOY- (MALATYA) [North West  0.6 km]
115,2.02E+13,2023-11-23,46:08.7,38.1202,38.559,8.3,5.3,0,5.3,5.2,0,0,Ke,ARIKONAK-SINCIK (ADIYAMAN) [North West  1.2 km]
116,2.02E+13,2023-11-20,36:03.8,38.215,38.7392,1.6,4.5,0,4.5,4.4,0,0,Ke,PAZARCIK-PUTURGE (MALATYA) [South East  1.0 km]
117,2.02E+13,2023-11-19,44:13.8,39.3735,28.257,11.1,4,0,4,3.8,0,0,Ke,DURASILAR-BIGADIC (BALIKESIR) [South East  3.6 km]
118,2.02E+13,2023-11-17,19:30.3,36.2953,27.6592,11.2,4.1,0,4.1,4,0,0,Ke,AKDENIZ
119,2.02E+13,2023-11-15,32:08.8,38.2025,38.5128,5,4,0,4,4,0,0,Ke,GULUMUSAGI- (MALATYA) [South 2.2 km]
120,2.02E+13,2023-11-13,58:05.4,39.4392,44.6057,5,4.4,0,4.2,4.4,0,0,Ke,TURKIYE-IRAN SINIR BOLGESI
121,2.02E+13,2023-11-13,28:28.2,37.7307,29.9355,6.4,4.2,0,4.2,4.1,0,0,Ke,ELDEN-YESILOVA (BURDUR) [South West  2.0 km]
122,2.02E+13,2023-11-11,05:32.5,36.2773,31.8913,92.7,4.3,0,4.3,4.1,0,0,Ke,ANTALYA KORFEZI (AKDENIZ)
123,2.02E+13,2023-11-11,55:52.3,36.9473,27.0047,8.8,4,0,4,3.9,0,0,Ke,ONIKI ADALAR (AKDENIZ)
124,2.02E+13,2023-11-09,32:14.0,36.5478,36.4147,12.6,4.9,0,4.9,4.7,0,0,Ke,KODALLI-KIRIKHAN (HATAY) [North East  1.0 km]
125,2.02E+13,2023-11-08,39:41.6,37.099,30.2223,95.2,4.3,0,4.3,4,0,0,Ke,KORKUTELI (ANTALYA) [North East  4.5 km]
126,2.02E+13,2023-11-07,05:47.8,40.4887,27.5442,15.7,4.3,0,4.3,4,0,0,Ke,AVSA-MARMARA (BALIKESIR) [South East  4.6 km]
127,2.02E+13,2023-11-03,55:38.2,35.4947,27.2758,5,4.1,0,3.9,4.1,0,0,Ke,AKDENIZ
128,2.02E+13,2023-10-30,25:47.7,38.0105,36.4315,5.5,4.2,0,4.2,4.2,0,0,Ke,ACIELMA-GOKSUN (KAHRAMANMARAS) [North East  1.7 km]
129,2.02E+13,2023-10-26,24:23.2,35.2302,26.6357,5,4.1,0,4.1,4.1,0,0,Ke,GIRIT ADASI (AKDENIZ)
130,2.02E+13,2023-10-26,18:43.2,35.2705,26.6185,5,4.1,0,4.1,4,0,0,Ke,GIRIT ADASI (AKDENIZ)
131,2.02E+13,2023-10-24,39:31.8,38.1613,38.622,5,4.4,0,4.4,4.4,0,0,Ke,BASMEZRA-PUTURGE (MALATYA) [North West  3.8 km]
132,2.02E+13,2023-10-21,05:11.0,38.9123,43.5638,5,4,0,4,4,0,0,Ke,COLPAN- (VAN) [North East  1.6 km]
133,2.02E+13,2023-10-20,53:08.7,38.3393,27.2,13.3,4.1,0,4.1,3.9,0,0,Ke,ZAFER-BUCA (IZMIR) [South West  2.5 km]
134,2.02E+13,2023-10-18,55:24.7,38.1968,27.6873,10.3,4.3,0,4.3,4.2,0,0,Ke,YAKACIK-BAYINDIR (IZMIR) [South West  1.8 km]
135,2.02E+13,2023-10-16,51:00.4,37.8477,36.3597,5,4.2,0,4.2,4.1,0,0,Ke,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS) [South 3.2 km]
136,2.02E+13,2023-10-14,07:09.3,40.8932,31.7135,5,4.7,0,4.7,4.5,0,0,Ke,MESCICELE- (BOLU) [North 5.8 km]
137,2.02E+13,2023-10-12,04:02.7,38.864,43.594,5,4.6,0,4.6,4.6,0,0,Ke,SAGLAMTAS- (VAN) [South West  3.7 km]
138,2.02E+13,2023-10-09,28:53.0,38.292,38.1342,5,4.3,0,4.3,4.2,0,0,Ke,GORGU-YESILYURT (MALATYA) [North East  3.7 km]
139,2.02E+13,2023-10-07,01:45.6,38.0912,38.1512,5,4.3,0,4.3,4.3,0,0,Ke,YALINKAYA-YESILYURT (MALATYA) [South East  4.6 km]
140,2.02E+13,2023-10-05,23:18.8,37.911,36.6778,7.1,4.4,0,4.4,4.1,0,0,Ke,TEKIR- (KAHRAMANMARAS) [North East  6.0 km]
141,2.02E+13,2023-10-04,58:13.3,36.0347,35.8517,10.3,4.1,0,4.1,3.9,0,0,Ke,MAGARACIK-SAMANDAG (HATAY) ACIKLARI (AKDENIZ)
142,2.02E+13,2023-10-01,30:16.9,38.3602,27.2092,7.1,4,0,4,3.8,0,0,Ke,ZAFER-BUCA (IZMIR) [North West  1.6 km]
143,2.02E+13,2023-09-30,38:51.8,36.9015,27.0377,8,4.2,0,4.2,4.2,0,0,Ke,ONIKI ADALAR (AKDENIZ)
144,2.02E+13,2023-09-28,42:45.5,39.0937,29.5525,8.1,4,0,4,3.7,0,0,Ke,YENIGUNEY-GEDIZ (KUTAHYA) [North East  1.6 km]
145,2.02E+13,2023-09-24,00:07.3,41.8818,44.999,7.2,4,0,4,4,0,0,Ke,GURCISTAN
146,2.02E+13,2023-09-23,22:22.0,37.945,36.4068,7.5,4.7,0,4.7,4.5,0,0,Ke,SIRMALI-GOKSUN (KAHRAMANMARAS) [South East  2.8 km]
147,2.02E+13,2023-09-10,43:56.5,35.4037,44.7943,25.7,4.9,0,4.8,4.9,0,0,Ke,IRAK
148,2.02E+13,2023-09-04,26:08.1,37.9662,27.1258,8.2,4.4,0,4.4,4.3,0,0,Ke,KUSADASI KORFEZI (EGE DENIZI)
149,2.02E+13,2023-09-01,35:09.3,37.9567,42.0485,9,4.1,0,3.9,4.1,0,0,Ke,CATILI-AYDINLAR (SIIRT) [South East  2.5 km]
150,2.02E+13,2023-08-29,58:14.1,38.9088,32.9598,3.5,5.1,0,5.1,4.9,0,0,Ke,TAVSANCALI-KULU (KONYA) [South West  5.1 km]
151,2.02E+13,2023-08-27,09:43.0,36.3487,27.808,65.3,4.4,0,4.4,0,0,0,Ke,AKDENIZ
152,2.02E+13,2023-08-26,58:42.3,38.0263,37.5187,5,4.1,0,4,4.1,0,0,Ke,TATLAR-NURHAK (KAHRAMANMARAS) [North West  3.1 km]
153,2.02E+13,2023-08-24,35:22.5,38.2595,38.2078,5,5,0,5,4.8,0,0,Ke,SEYITUSAGI-YESILYURT (MALATYA) [East 2.9 km]
154,2.02E+13,2023-08-23,22:30.9,39.6365,43.6868,5,4.1,0,4.1,4.1,0,0,Ke,YENICADIR-DIYADIN (AGRI) [North West  1.9 km]
155,2.02E+13,2023-08-23,19:28.8,39.2,40.3287,5.2,4,0,4,4,0,0,Ke,DEMIRKANAT-KIGI (BINGOL) [South East  1.1 km]
156,2.02E+13,2023-08-22,17:32.7,38.4567,36.6812,5,4.8,0,4.8,4.8,0,0,Ke,KIRKISRAK-SARIZ (KAYSERI) [East 1.9 km]
157,2.02E+13,2023-08-21,45:56.8,36.799,28.156,68.1,4.2,0,4.2,3.9,0,0,Ke,HISARONU-MARMARIS (MUGLA) [East 1.0 km]
158,2.02E+13,2023-08-21,54:32.5,37.9843,36.4638,5,4,0,4,4,0,0,Ke,TASOLUK-GOKSUN (KAHRAMANMARAS) [North East  1.0 km]
159,2.02E+13,2023-08-20,05:53.0,37.9643,36.373,2.5,4.1,0,4.1,4.1,0,0,Ke,SIRMALI-GOKSUN (KAHRAMANMARAS) [North West  0.9 km]
160,2.02E+13,2023-08-17,25:06.1,37.7667,37.7087,5.3,4,0,4,4,0,0,Ke,YUKARICOPLU-GOLBASI (ADIYAMAN) [South East  0.8 km]
161,2.02E+13,2023-08-16,36:58.4,37.6587,35.393,4.7,4.6,0,4.6,4.6,0,0,Ke,YETIMLI-ALADAG (ADANA) [North East  8.0 km]
162,2.02E+13,2023-08-12,18:18.0,38.286,38.1992,5,4.1,0,4.1,4,0,0,Ke,IKIZCE-YESILYURT (MALATYA) [South East  0.9 km]
