date,relative_humidity_2m,City
2024-10-05,66.083336,Tekirdag
2024-10-05,49.541668,Van
2024-10-04,46.708332,Balikesir
2024-10-04,48.333332,Bingöl
2024-10-04,52.333332,Bursa
2024-10-04,66.083336,Çanakkale
2024-10-04,77.791664,Düzce
2024-10-04,57.416668,Erzincan
2024-10-04,57.625,Hatay
2024-10-04,63.291668,Istanbul
2024-10-04,47.666668,Izmir
2024-10-04,73.958336,Kocaeli
2024-10-04,44.041668,Manisa
2024-10-04,55.166668,Mus
2024-10-04,71,Sakarya
2024-10-04,66.333336,Tekirdag
2024-10-04,49.291668,Van
2024-10-03,58.416668,Balikesir
2024-10-03,54.333332,Bingöl
2024-10-03,61.25,Bursa
2024-10-03,66.75,Çanakkale
2024-10-03,84.125,Düzce
2024-10-03,60.541668,Erzincan
2024-10-03,53.458332,Hatay
2024-10-03,77.208336,Istanbul
2024-10-03,54.666668,Izmir
2024-10-03,77.166664,Kocaeli
2024-10-03,51.458332,Manisa
2024-10-03,56.5,Mus
2024-10-03,82.5,Sakarya
2024-10-03,73.083336,Tekirdag
2024-10-03,50.875,Van
2024-10-02,64.25,Balikesir
2024-10-02,64,Bingöl
2024-10-02,69.5,Bursa
2024-10-02,67.958336,Çanakkale
2024-10-02,90.375,Düzce
2024-10-02,60.041668,Erzincan
2024-10-02,52.916668,Hatay
2024-10-02,66.75,Istanbul
2024-10-02,53.25,Izmir
2024-10-02,70.791664,Kocaeli
2024-10-02,53.958332,Manisa
2024-10-02,69.541664,Mus
2024-10-02,77.458336,Sakarya
2024-10-02,63.291668,Tekirdag
2024-10-02,55.333332,Van
2024-10-01,68.583336,Balikesir
2024-10-01,57.375,Bingöl
2024-10-01,71.708336,Bursa
2024-10-01,60.75,Çanakkale
2024-10-01,86.416664,Düzce
2024-10-01,65.708336,Erzincan
2024-10-01,61.208332,Hatay
2024-10-01,63.541668,Istanbul
2024-10-01,55.416668,Izmir
2024-10-01,67.791664,Kocaeli
2024-10-01,59.708332,Manisa
2024-10-01,49.166668,Mus
2024-10-01,73.625,Sakarya
2024-10-01,57.958332,Tekirdag
2024-10-01,33.041668,Van
2024-09-30,75.916664,Balikesir
2024-09-30,35.5,Bingöl
2024-09-30,89,Bursa
2024-09-30,67.083336,Çanakkale
2024-09-30,93.291664,Düzce
2024-09-30,30.583334,Erzincan
2024-09-30,65.75,Hatay
2024-09-30,76.5,Istanbul
2024-09-30,60.041668,Izmir
2024-09-30,81.791664,Kocaeli
2024-09-30,67.083336,Manisa
2024-09-30,39.375,Mus
2024-09-30,86.666664,Sakarya
2024-09-30,72.625,Tekirdag
2024-09-30,40.166668,Van
2024-09-29,61.125,Balikesir
2024-09-29,35.708332,Bingöl
2024-09-29,60.083332,Bursa
2024-09-29,72.5,Çanakkale
2024-09-29,78.458336,Düzce
2024-09-29,36.458332,Erzincan
2024-09-29,68.958336,Hatay
2024-09-29,84.541664,Istanbul
2024-09-29,59.25,Izmir
2024-09-29,74.958336,Kocaeli
2024-09-29,50.625,Manisa
2024-09-29,47.916668,Mus
2024-09-29,84.5,Sakarya
2024-09-29,83.416664,Tekirdag
2024-09-29,43.375,Van
2024-09-28,66.083336,Balikesir
2024-09-28,37.166668,Bingöl
2024-09-28,67.583336,Bursa
2024-09-28,76.375,Çanakkale
2024-09-28,70.875,Düzce
2024-09-28,30.083334,Erzincan
2024-09-28,63.541668,Hatay
2024-09-28,81.583336,Istanbul
2024-09-28,59.041668,Izmir
2024-09-28,74.625,Kocaeli
2024-09-28,49.333332,Manisa
2024-09-28,53.541668,Mus
2024-09-28,84.75,Sakarya
2024-09-28,83.625,Tekirdag
2024-09-28,47.791668,Van
2024-09-27,60.041668,Balikesir
2024-09-27,38.791668,Bingöl
2024-09-27,63.75,Bursa
2024-09-27,55.125,Çanakkale
2024-09-27,80.416664,Düzce
2024-09-27,34.875,Erzincan
2024-09-27,67,Hatay
2024-09-27,77.458336,Istanbul
2024-09-27,47.25,Izmir
2024-09-27,74.625,Kocaeli
2024-09-27,45.375,Manisa
2024-09-27,56.875,Mus
2024-09-27,81.333336,Sakarya
2024-09-27,77.833336,Tekirdag
2024-09-27,56.458332,Van
2024-09-26,56.625,Balikesir
2024-09-26,43.166668,Bingöl
2024-09-26,53.416668,Bursa
2024-09-26,60.25,Çanakkale
2024-09-26,81.416664,Düzce
2024-09-26,39.375,Erzincan
2024-09-26,62.5,Hatay
2024-09-26,75.458336,Istanbul
2024-09-26,55.125,Izmir
2024-09-26,77.25,Kocaeli
2024-09-26,48.708332,Manisa
2024-09-26,51.041668,Mus
2024-09-26,78.583336,Sakarya
2024-09-26,64.291664,Tekirdag
2024-09-26,62.916668,Van
2024-09-25,60.166668,Balikesir
2024-09-25,49.041668,Bingöl
2024-09-25,56.916668,Bursa
2024-09-25,59.625,Çanakkale
2024-09-25,82.375,Düzce
2024-09-25,46.458332,Erzincan
2024-09-25,61.166668,Hatay
2024-09-25,70.875,Istanbul
2024-09-25,54.625,Izmir
2024-09-25,74.166664,Kocaeli
2024-09-25,50.875,Manisa
2024-09-25,54.666668,Mus
2024-09-25,79.291664,Sakarya
2024-09-25,66.5,Tekirdag
2024-09-25,55.375,Van
2024-09-24,62.375,Balikesir
2024-09-24,62.291668,Bingöl
2024-09-24,64.916664,Bursa
2024-09-24,63.166668,Çanakkale
2024-09-24,82.75,Düzce
2024-09-24,48.75,Erzincan
2024-09-24,61.791668,Hatay
2024-09-24,74.875,Istanbul
2024-09-24,50.166668,Izmir
2024-09-24,78.833336,Kocaeli
2024-09-24,55.75,Manisa
2024-09-24,66.583336,Mus
2024-09-24,81.5,Sakarya
2024-09-24,65.25,Tekirdag
2024-09-24,59.416668,Van
2024-09-23,58.25,Balikesir
2024-09-23,70.166664,Bingöl
2024-09-23,72.75,Bursa
2024-09-23,61.291668,Çanakkale
2024-09-23,90.916664,Düzce
2024-09-23,59.25,Erzincan
2024-09-23,68.208336,Hatay
2024-09-23,71.458336,Istanbul
2024-09-23,47.666668,Izmir
2024-09-23,80.875,Kocaeli
2024-09-23,55.333332,Manisa
2024-09-23,70.916664,Mus
2024-09-23,83.416664,Sakarya
2024-09-23,59.583332,Tekirdag
2024-09-23,68.541664,Van
2024-09-22,59.708332,Balikesir
2024-09-22,84.583336,Bingöl
2024-09-22,63.5,Bursa
2024-09-22,60.791668,Çanakkale
2024-09-22,88.208336,Düzce
2024-09-22,69.666664,Erzincan
2024-09-22,73.708336,Hatay
2024-09-22,61.75,Istanbul
2024-09-22,45.416668,Izmir
2024-09-22,66.916664,Kocaeli
2024-09-22,51.041668,Manisa
2024-09-22,88.541664,Mus
2024-09-22,71.583336,Sakarya
2024-09-22,58.25,Tekirdag
2024-09-22,68.625,Van
2024-09-21,72.125,Balikesir
2024-09-21,75.083336,Bingöl
2024-09-21,73.666664,Bursa
2024-09-21,62.625,Çanakkale
2024-09-21,85.833336,Düzce
2024-09-21,49.75,Erzincan
2024-09-21,62.041668,Hatay
2024-09-21,69.083336,Istanbul
2024-09-21,54.041668,Izmir
2024-09-21,82.416664,Kocaeli
2024-09-21,61.416668,Manisa
2024-09-21,88.166664,Mus
2024-09-21,84.75,Sakarya
2024-09-21,65.708336,Tekirdag
2024-09-21,74.041664,Van
2024-09-20,67.375,Balikesir
2024-09-20,62.083332,Bingöl
2024-09-20,69.375,Bursa
2024-09-20,69.208336,Çanakkale
2024-09-20,80.333336,Düzce
2024-09-20,47.041668,Erzincan
2024-09-20,63.208332,Hatay
2024-09-20,75.916664,Istanbul
2024-09-20,52.583332,Izmir
2024-09-20,76.416664,Kocaeli
2024-09-20,57.583332,Manisa
2024-09-20,88.583336,Mus
2024-09-20,80.458336,Sakarya
2024-09-20,72.416664,Tekirdag
2024-09-20,74,Van
2024-09-19,59.75,Balikesir
2024-09-19,46.458332,Bingöl
2024-09-19,65.875,Bursa
2024-09-19,61.916668,Çanakkale
2024-09-19,84.375,Düzce
2024-09-19,47.5,Erzincan
2024-09-19,58.083332,Hatay
2024-09-19,67.25,Istanbul
2024-09-19,55.458332,Izmir
2024-09-19,74.458336,Kocaeli
2024-09-19,57.916668,Manisa
2024-09-19,67.583336,Mus
2024-09-19,77.083336,Sakarya
2024-09-19,65.5,Tekirdag
2024-09-19,64.416664,Van
2024-09-18,69.375,Balikesir
2024-09-18,40.333332,Bingöl
2024-09-18,66.208336,Bursa
2024-09-18,67.458336,Çanakkale
2024-09-18,78.458336,Düzce
2024-09-18,45.583332,Erzincan
2024-09-18,58.666668,Hatay
2024-09-18,70.791664,Istanbul
2024-09-18,57,Izmir
2024-09-18,74.916664,Kocaeli
